rank,country,score
1,Finland,85.3
2,Ireland,83.8
3,Netherlands,79.9
4,Austria,79.4
5,Czech Republic,78.6
6,United Kingdom,78.5
7,Sweden,78.1
8,Israel,78
9,Japan,77.9
10,Switzerland,77.7
11,United States,77.5
12,Canada,77.2
13,Germany,77
14,New Zealand,77
15,Denmark,76.6
16,Italy,76.6
17,France,76.5
18,Norway,76.2
19,Portugal,75.7
20,Singapore,75.7
21,Belgium,75.2
22,Romania,74.2
23,Belarus,73.8
24,Russia,73.7
25,Poland,73.5
26,Spain,73.4
27,Greece,73
28,Costa Rica,72.3
29,South Korea,72.1
30,Uruguay,71.4
31,Australia,71.3
32,Kazakhstan,70.8
33,Kuwait,70.7
34,Chile,70.2
35,Oman,70.2
36,Hungary,70.1
37,Qatar,69.6
38,Saudi Arabia,69.5
39,China,69.3
40,Slovakia,69.2
41,Panama,68.9
42,United Arab Emirates,68.3
43,Malaysia,67.9
44,Bulgaria,67.4
45,Mexico,66.2
46,Peru,65.7
47,Turkey,65.3
48,Dominican Republic,65.2
49,Bahrain,64.6
50,Brazil,64.1
51,Thailand,64
52,Serbia,63.2
53,Colombia,63.1
54,Ukraine,63
55,Argentina,62.7
56,Azerbaijan,62.3
57,Morocco,62
58,Algeria,61.8
59,Tunisia,61.4
60,Egypt,61.1
61,Paraguay,60.5
62,Jordan,60.4
63,Vietnam,60.3
64,Bolivia,60
65,Indonesia,59.5
66,El Salvador,59
67,Honduras,58.2
68,Ecuador,57.9
69,South Africa,57.8
70,Myanmar,56.6
71,Guatemala,56.2
72,India,56.2
73,Philippines,55.7
74,Botswana,55.5
75,Sri Lanka,54.8
76,Nicaragua,54.4
77,Ghana,53
78,Nepa,53
79,Mali,52.7
80,Pakistan,52.3
81,Cambodia,51.5
82,Côte d'Ivoire,51
83,Uzbekistan,50.9
84,Bangladesh,50
85,Tajikistan,49.4
86,Kenya,49
87,Niger,47.6
88,Burkina Faso,47.4
89,Tanzania,47.1
90,Laos,46.4
91,Senegal,46.4
92,Benin,46.2
93,Togo,44.9
94,Cameroon,44.7
95,Uganda,42.9
96,Venezuela,42.8
97,Angola,42.1
98,Congo (Dem. Rep.),40.7
99,Mozambique,40.6
100,Nigeria,40.1
101,Syria,40
102,Guinea,39.5
103,Chad,39.4
104,Rwanda,38.8
105,Haiti,38.5
106,Madagascar,37.5
107,Burundi,37.1
108,Ethiopia,37
109,Sierra Leone,37
110,Malawi,36.7
111,Zambia,36.6
112,Sudan,36
113,Yemen,35.7
